gbifID;datasetKey;occurrenceID;kingdom;phylum;class;order;family;genus;species;infraspecificEpithet;taxonRank;scientificName;verbatimScientificName;verbatimScientificNameAuthorship;countryCode;locality;stateProvince;occurrenceStatus;individualCount;publishingOrgKey;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;elevation;elevationAccuracy;depth;depthAccuracy;eventDate;day;month;year;taxonKey;speciesKey;basisOfRecord;institutionCode;collectionCode;catalogNumber;recordNumber;identifiedBy;dateIdentified;license;rightsHolder;recordedBy;typeStatus;establishmentMeans;lastInterpreted;mediaType;issue
3321198152;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/84849267;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus;;IN;;Karnataka;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;15.344191;76.422673;30899.0;;;;;;2019-01-30T17:05:00;30;1;2019;7059318;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;84849267;;Michal Sloviak;2021-07-10T07:54:28;CC_BY_NC_4_0;shivaprakash;shivaprakash;;;2021-09-19T04:30:11.920Z;StillImage;COORDINATE_ROUNDED
3307116753;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/82843003;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus;;IN;;Karnataka;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;12.714664;77.523598;31069.0;;;;;;2019-05-27T02:49:00;27;5;2019;7059318;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;82843003;;Michal Sloviak;2021-06-21T16:39:16;CC_BY_NC_4_0;shivaprakash;shivaprakash;;;2021-09-19T05:13:42.431Z;StillImage;COORDINATE_ROUNDED
3302337253;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/81136404;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus;;IN;;Madhya Pradesh;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;23.634079;81.133902;30154.0;;;;;;2012-06-27T06:45:00;27;6;2012;7059318;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;81136404;;Himanshu Pandav;2021-06-01T03:38:53;CC_BY_NC_4_0;Himanshu Pandav;Himanshu Pandav;;;2021-09-19T05:12:29.516Z;StillImage;COORDINATE_ROUNDED
3302144770;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/81010157;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus;;IN;;Madhya Pradesh;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;23.768122;81.147912;30154.0;;;;;;2012-06-26T06:54:00;26;6;2012;7059318;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;81010157;;Himanshu Pandav;2021-05-31T09:32:43;CC_BY_NC_4_0;Himanshu Pandav;Himanshu Pandav;;;2021-09-19T05:12:43.591Z;StillImage;COORDINATE_ROUNDED
3127227335;7e380070-f762-11e1-a439-00145eb45e9a;658a5773-b766-48eb-8146-009202718664;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;;SPECIES;Melursus ursinus (Shaw, 1791);Melursus ursinus Shaw, 1791;Shaw, 1791;;;;PRESENT;;19456090-b49a-11d8-abeb-b8a03c50a862;;;;;;;;;;;;;2433395;2433395;PRESERVED_SPECIMEN;NHMUK;ZOO;;;;;CC0_1_0;;;;;2021-09-15T21:37:59.649Z;;"COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
3127221326;7e380070-f762-11e1-a439-00145eb45e9a;88e22d8f-4ffe-4371-b1b6-9dbf23d42e8e;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;;SPECIES;Melursus ursinus (Shaw, 1791);Melursus ursinus Shaw, 1791;Shaw, 1791;;;;PRESENT;;19456090-b49a-11d8-abeb-b8a03c50a862;;;;;;;;;;;;;2433395;2433395;PRESERVED_SPECIMEN;NHMUK;ZOO;;;;;CC0_1_0;;;;;2021-09-15T21:38:59.800Z;;"COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
3127214335;7e380070-f762-11e1-a439-00145eb45e9a;04c36923-90fc-40f5-b930-b88cf2aa8075;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;;SPECIES;Melursus ursinus (Shaw, 1791);Melursus ursinus Shaw, 1791;Shaw, 1791;;;;PRESENT;;19456090-b49a-11d8-abeb-b8a03c50a862;;;;;;;;;;;;;2433395;2433395;PRESERVED_SPECIMEN;NHMUK;ZOO;;;;;CC0_1_0;;;;;2021-09-15T21:39:00.063Z;;"COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
3124907238;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/80467540;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus;;IN;;Tamil Nadu;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;11.518675;76.732053;31137.0;;;;;;2015-01-05T18:36:00;5;1;2015;7059318;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;80467540;;Benoît Segerer;2021-05-27T11:35:18;CC_BY_NC_4_0;Benoît Segerer;Benoît Segerer;;;2021-09-19T04:29:06.726Z;StillImage;COORDINATE_ROUNDED
3113529309;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/78216684;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus;;IN;;Tamil Nadu;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;12.567127;77.630991;31081.0;;;;;;2013-06-19T18:28:00;19;6;2013;7059318;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;78216684;;Michal Sloviak;2021-06-21T16:39:34;CC_BY_NC_4_0;KANS;KANS;;;2021-09-19T05:12:37.106Z;StillImage;COORDINATE_ROUNDED
3097396585;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/74804700;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus;;IN;;Karnataka;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;13.11376;75.368668;31045.0;;;;;;2021-04-17T11:25:24;17;4;2021;7059318;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;74804700;;;;CC_BY_4_0;Ashwin Viswanathan;Ashwin Viswanathan;;;2021-09-19T04:28:26.543Z;StillImage;COORDINATE_ROUNDED
3097359608;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/74804534;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus;;IN;;Maharashtra;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;20.282918;79.212049;30490.0;;;;;;2013-04-05T21:21:00;5;4;2013;7059318;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;74804534;;Leonardo Sueza;2021-04-22T14:44:45;CC_BY_NC_4_0;Jayant M Deshpande;Jayant M Deshpande;;;2021-09-19T05:50:29.309Z;StillImage;COORDINATE_ROUNDED
3097139630;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/74821778;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus;;IN;;Maharashtra;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;20.038599;79.374098;30508.0;;;;;;2014-05-01T18:21:00;1;5;2014;7059318;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;74821778;;Michal Sloviak;2021-04-22T11:22:53;CC_BY_NC_4_0;Jayant M Deshpande;Jayant M Deshpande;;;2021-09-19T04:28:45.035Z;StillImage;COORDINATE_ROUNDED
3090963664;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/73805789;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus;;IN;;Rajasthan;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;24.551157;72.669422;30069.0;;;;;;2016-09-25T08:35:00;25;9;2016;7059318;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;73805789;;Jonathan Hakim;2021-04-13T01:58:30;CC_BY_NC_4_0;Jonathan Hakim;Jonathan Hakim;;;2021-09-19T04:27:53.367Z;StillImage;COORDINATE_ROUNDED
3090898591;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/73751408;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus;;IN;;Rajasthan;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;24.501433;72.696534;30069.0;;;;;;2016-09-24T08:30:00;24;9;2016;7059318;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;73751408;;Jonathan Hakim;2021-04-12T16:08:17;CC_BY_NC_4_0;Jonathan Hakim;Jonathan Hakim;;;2021-09-19T05:11:34.214Z;StillImage;COORDINATE_ROUNDED
